--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
036.316  000.035  000.035: require('neodev.config')
036.387  000.032  000.032: require('neodev.util')
036.389  000.067  000.035: require('neodev.lsp')
037.003  000.440  000.440: require('vim.lsp.protocol')
037.046  000.526  000.086: require('vim.lsp.log')
037.196  000.147  000.147: require('vim.lsp.util')
037.278  000.034  000.034: require('vim.lsp.sync')
037.282  000.083  000.049: require('vim.lsp._changetracking')
037.373  000.039  000.039: require('vim.lsp._transport')
037.379  000.004  000.004: require('vim._core.stringbuffer')
037.386  000.103  000.059: require('vim.lsp.rpc')
037.453  001.018  000.159: require('vim.lsp')
037.522  001.131  000.113: require('lspconfig.util')
037.805  000.056  000.056: sourcing /home/frerebo/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
037.811  000.092  000.036: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
037.817  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
037.827  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
037.946  000.030  000.030: require('lspconfig.async')
037.949  000.076  000.046: require('lspconfig.configs')
037.954  000.123  000.048: require('lspconfig')
038.040  000.051  000.051: require('cmp_nvim_lsp.source')
038.042  000.087  000.036: require('cmp_nvim_lsp')
038.133  000.052  000.052: require('mason-core.optional')
038.263  000.044  000.044: require('mason-core.functional.table')
038.314  000.180  000.135: require('mason-lspconfig.mappings.server')
038.421  000.042  000.042: require('mason-core.EventEmitter')
038.566  000.088  000.088: require('mason-core.async')
038.613  000.044  000.044: require('mason-core.async.uv')
038.617  000.194  000.062: require('mason-core.fs')
038.635  000.319  000.083: require('mason-registry')
038.933  000.053  000.053: require('lspconfig.configs.jsonls')
039.378  000.066  000.066: require('lspconfig.manager')
039.441  000.056  000.056: require('lspconfig.configs.pyright')
040.044  000.068  000.068: require('lspconfig.configs.dockerls')
040.413  000.071  000.071: require('lspconfig.configs.clangd')
040.903  000.058  000.058: require('lspconfig.configs.arduino_language_server')
041.214  000.057  000.057: require('lspconfig.configs.html')
041.565  000.060  000.060: require('lspconfig.configs.lua_ls')
